source,class,confidence,frame
webcam,book,0.6809,498
webcam,remote,0.5495,498
webcam,person,0.9234,499
webcam,book,0.7075,499
webcam,remote,0.4514,499
webcam,person,0.9207,500
webcam,book,0.6978,500
webcam,remote,0.3592,500
webcam,person,0.8806,501
webcam,book,0.7568,501
webcam,person,0.9322,502
webcam,book,0.877,502
webcam,person,0.9508,503
webcam,book,0.9285,503
webcam,person,0.9569,504
webcam,person,0.4362,504
webcam,book,0.3666,504
webcam,remote,0.2985,504
webcam,person,0.9634,505
webcam,cell phone,0.3664,505
webcam,person,0.9572,506
webcam,cell phone,0.5664,506
webcam,person,0.9581,507
webcam,person,0.9572,508
webcam,person,0.95,509
webcam,person,0.9434,510
webcam,book,0.4517,510
webcam,remote,0.366,510
webcam,cell phone,0.3488,510
webcam,person,0.284,510
webcam,person,0.8902,511
webcam,book,0.6415,511
webcam,remote,0.4275,511
webcam,person,0.3475,511
webcam,person,0.3305,511
webcam,person,0.8039,512
webcam,remote,0.7952,512
webcam,person,0.5827,512
webcam,remote,0.7602,513
webcam,person,0.5888,513
webcam,cell phone,0.7435,514
webcam,person,0.6388,514
webcam,remote,0.3104,514
webcam,person,0.5919,515
webcam,remote,0.4588,515
webcam,book,0.3211,515
webcam,person,0.5616,516
webcam,remote,0.533,516
webcam,cell phone,0.4896,516
webcam,person,0.588,517
webcam,remote,0.3947,517
webcam,person,0.7341,518
webcam,remote,0.4475,518
webcam,book,0.3667,518
webcam,person,0.3446,518
webcam,person,0.8148,519
webcam,book,0.496,519
webcam,cell phone,0.4406,519
webcam,person,0.7409,520
webcam,book,0.4547,520
webcam,cell phone,0.4223,520
webcam,person,0.8528,521
webcam,cell phone,0.652,521
webcam,book,0.2608,521
webcam,person,0.8354,522
webcam,cell phone,0.6894,522
webcam,person,0.8484,523
webcam,cell phone,0.7348,523
webcam,remote,0.6027,523
webcam,person,0.851,524
webcam,cell phone,0.6332,524
webcam,remote,0.5974,524
webcam,person,0.8921,525
webcam,remote,0.457,525
webcam,cell phone,0.3065,525
webcam,book,0.2819,525
webcam,person,0.8713,526
webcam,remote,0.4324,526
webcam,cell phone,0.4297,526
